93,CASTILLO,230420,4.92%,0.72%,3.04%,0.59%,0.46%,90.26%,0.129%,1292,,,
94,SANDERS,230374,60.78%,32.97%,0.41%,0.84%,2.43%,2.57%,0.129%,1292,,,
95,PATEL,229973,2.10%,0.38%,94.78%,0.65%,1.65%,0.44%,0.129%,1290,,,
96,MYERS,229895,84.50%,10.54%,0.50%,0.55%,1.80%,2.10%,0.129%,1289,,,
97,LONG,229374,79.88%,12.10%,2.48%,1.32%,1.97%,2.24%,0.129%,1286,,,
98,ROSS,229368,68.96%,24.46%,0.61%,0.90%,2.32%,2.75%,0.129%,1286,,,
99,FOSTER,227764,69.65%,23.94%,0.55%,0.88%,2.33%,2.65%,0.128%,1277,,,
100,JIMENEZ,227118,3.84%,0.29%,1.49%,0.20%,0.21%,93.97%,0.127%,1274,,,
101,POWELL,224874,67.20%,27.12%,0.46%,0.62%,2.29%,2.31%,0.126%,1261,,,
102,JENKINS,222653,57.76%,36.78%,0.39%,0.57%,2.42%,2.07%,0.125%,1249,,,
103,PERRY,221741,68.32%,25.20%,0.57%,0.81%,2.43%,2.67%,0.124%,1244,,,
104,RUSSELL,221558,77.05%,16.69%,0.57%,1.05%,2.18%,2.46%,0.124%,1243,,,
105,SULLIVAN,220990,87.73%,7.13%,0.60%,0.57%,1.59%,2.39%,0.124%,1239,,,
106,BELL,220599,61.11%,32.35%,0.55%,1.01%,2.51%,2.46%,0.124%,1237,,,
107,COLEMAN,219070,49.43%,44.60%,0.40%,0.53%,2.79%,2.25%,0.123%,1229,,,
108,BUTLER,218847,62.36%,31.54%,0.45%,0.84%,2.45%,2.35%,0.123%,1227,,,
109,HENDERSON,218393,59.63%,33.98%,0.45%,0.86%,2.56%,2.51%,0.122%,1225,,,
110,BARNES,218241,64.81%,29.28%,0.48%,0.75%,2.35%,2.33%,0.122%,1224,,,
111,GONZALES,214758,9.83%,0.99%,3.80%,0.76%,0.56%,84.06%,0.120%,1204,,,
