86,Nevaeh,0.139%,1049,,,
87,Cora,0.138%,1043,,,
88,Ariana,0.136%,1029,,,
89,Emery,0.134%,1009,,,
90,Lydia,0.133%,1001,,,
91,Jade,0.132%,997,,,
92,Sarah,0.131%,991,,,
93,Eva,0.129%,976,,,
94,Adeline,0.129%,976,,,
95,Madeline,0.129%,974,,,
96,Piper,0.129%,974,,,
97,Rylee,0.129%,972,,,
98,Athena,0.129%,972,,,
99,Peyton,0.128%,965,,,
100,Everleigh,0.127%,962,,,
101,Vivian,0.126%,953,,,
102,Clara,0.125%,943,,,
103,Raelynn,0.124%,940,,,
104,Liliana,0.124%,939,,,
105,Samantha,0.124%,936,,,
106,Maria,0.124%,935,,,
107,Iris,0.123%,928,,,
108,Ayla,0.123%,927,,,
109,Eloise,0.122%,925,,,
110,Lyla,0.122%,925,,,
111,Eliza,0.120%,910,,,
112,Hadley,0.120%,910,,,
113,Melody,0.119%,902,,,
114,Julia,0.118%,891,,,
115,Parker,0.117%,884,,,
116,Rose,0.117%,883,,,
117,Isabelle,0.115%,870,,,
118,Brielle,0.115%,867,,,
119,Adalynn,0.113%,855,,,
120,Arya,0.113%,852,,,
121,Eden,0.112%,848,,,
122,Remi,0.111%,841,,,
123,Mackenzie,0.111%,836,,,
124,Maeve,0.110%,834,,,
125,Margaret,0.110%,830,,,
126,Reagan,0.110%,827,,,
127,Charlie,0.109%,823,,,
128,Alaia,0.108%,817,,,
129,Melanie,0.108%,817,,,
130,Josie,0.107%,808,,,
131,Elliana,0.106%,801,,,
132,Cecilia,0.106%,799,,,
133,Mary,0.106%,799,,,
134,Daisy,0.105%,790,,,
135,Alina,0.104%,787,,,
136,Lucia,0.104%,783,,,
137,Ximena,0.104%,783,,,
138,Juniper,0.103%,780,,,
139,Kaylee,0.103%,779,,,
140,Magnolia,0.102%,774,,,
141,Summer,0.102%,767,,,
142,Adalyn,0.101%,766,,,
143,Sloane,0.101%,765,,,
144,Amara,0.100%,752,,,
145,Arianna,0.099%,752,,,
146,Isabel,0.099%,749,,,
147,Reese,0.099%,747,,,
148,Emersyn,0.097%,737,,,
149,Sienna,0.096%,724,,,
150,Kehlani,0.095%,719,,,
151,River,0.095%,717,,,
152,Freya,0.095%,716,,,
153,Valerie,0.094%,709,,,
154,Blakely,0.094%,708,,,
155,Genevieve,0.093%,703,,,
156,Esther,0.092%,697,,,
157,Valeria,0.092%,695,,,
158,Katherine,0.092%,691,,,
159,Kylie,0.091%,691,,,
160,Norah,0.091%,688,,,
161,Amaya,0.091%,686,,,
162,Bailey,0.091%,685,,,
163,Ember,0.091%,685,,,
164,Ryleigh,0.090%,680,,,
165,Georgia,0.090%,679,,,
166,Catalina,0.090%,679,,,
167,Emerson,0.089%,676,,,
168,Alexandra,0.089%,671,,,
169,Faith,0.089%,671,,,
170,Jasmine,0.089%,671,,,
171,Ariella,0.088%,664,,,
172,Ashley,0.088%,664,,,
173,Andrea,0.087%,660,,,
174,Millie,0.087%,656,,,
175,//,0.086%,651,,,
176,Khloe,0.086%,650,,,
177,Callie,0.086%,650,,,
178,Juliette,0.086%,650,,,
179,Sage,0.086%,647,,,
180,Ada,0.085%,645,,,
181,Anastasia,0.085%,645,,,
182,Olive,0.085%,644,,,
183,Alani,0.085%,639,,,
184,Brianna,0.084%,633,,,
185,Rosalie,0.082%,623,,,
186,Molly,0.082%,623,,,
187,Brynlee,0.082%,621,,,
188,Amy,0.082%,620,,,
189,Ruth,0.082%,617,,,
190,Aubree,0.081%,613,,,
191,Gemma,0.081%,612,,,
192,Taylor,0.081%,609,,,
193,Oakley,0.080%,608,,,
194,Margot,0.080%,605,,,
195,Arabella,0.080%,604,,,
196,Sara,0.080%,603,,,
197,Journee,0.079%,599,,,
198,Harmony,0.079%,596,,,
199,Blake,0.078%,593,,,
200,Alaina,0.078%,592,,,
201,Aspen,0.078%,588,,,
202,Noelle,0.078%,587,,,
203,Selena,0.078%,586,,,
204,Oaklynn,0.077%,585,,,
205,Morgan,0.077%,583,,,
206,Londyn,0.077%,581,,,
207,Zuri,0.077%,581,,,
208,Aliyah,0.077%,579,,,
209,Jordyn,0.077%,579,,,
210,Juliana,0.076%,575,,,
211,Finley,0.076%,575,,,
212,Presley,0.076%,573,,,
213,Zara,0.076%,572,,,
214,Leila,0.076%,572,,,
215,Marley,0.075%,569,,,
216,Sawyer,0.075%,569,,,
217,Amira,0.075%,567,,,
218,Lilly,0.075%,567,,,
219,London,0.075%,566,,,
220,Kimberly,0.075%,564,,,
221,Elsie,0.075%,563,,,
222,Ariel,0.074%,563,,,
223,Lila,0.074%,557,,,
224,Alana,0.074%,557,,,
225,Diana,0.074%,557,,,
226,Kamila,0.074%,556,,,
227,Nyla,0.073%,554,,,
228,Vera,0.073%,553,,,
229,Hope,0.073%,552,,,
230,Annie,0.073%,551,,,
231,Kaia,0.073%,550,,,
232,Myla,0.073%,550,,,
233,Alyssa,0.072%,546,,,
234,Angela,0.072%,545,,,
235,Ana,0.072%,545,,,
236,Lennon,0.072%,542,,,
237,Evangeline,0.072%,541,,,
238,Harlow,0.071%,540,,,
239,Rachel,0.071%,539,,,
240,Gracie,0.071%,538,,,
241,Rowan,0.071%,534,,,
242,Laila,0.070%,531,,,
243,Elise,0.070%,530,,,
244,Sutton,0.070%,530,,,
245,Lilah,0.070%,527,,,
246,Adelyn,0.069%,521,,,
247,Phoebe,0.069%,519,,,
248,Octavia,0.069%,518,,,
249,Sydney,0.068%,515,,,
250,Mariana,0.068%,513,,,
251,Wren,0.068%,511,,,
252,Lainey,0.068%,511,,,
253,Vanessa,0.067%,507,,,
254,Teagan,0.067%,505,,,
255,Kayla,0.067%,505,,,
256,Malia,0.067%,504,,,
257,Elaina,0.067%,503,,,
258,Saylor,0.066%,502,,,
259,Brooke,0.066%,499,,,
260,Lola,0.065%,495,,,
261,Miriam,0.065%,494,,,
262,Alayna,0.065%,494,,,
263,Adelaide,0.065%,491,,,
264,Daniela,0.065%,491,,,
265,Jane,0.065%,490,,,
266,Payton,0.065%,490,,,
267,Journey,0.064%,487,,,
268,Lilith,0.064%,487,,,
269,Delaney,0.064%,483,,,
270,Dakota,0.064%,480,,,
271,Mya,0.063%,475,,,
272,Charlee,0.063%,475,,,
273,Alivia,0.063%,474,,,
274,Annabelle,0.062%,472,,,
275,Kailani,0.062%,472,,,
276,Lucille,0.062%,471,,,
277,Trinity,0.062%,470,,,
278,Gia,0.062%,469,,,
279,Tatum,0.062%,469,,,
280,Raegan,0.062%,468,,,
281,Camille,0.062%,467,,,
282,Kaylani,0.062%,466,,,
283,Kali,0.061%,464,,,
284,Stevie,0.061%,462,,,
285,Maggie,0.061%,459,,,
286,Haven,0.060%,456,,,
287,Tessa,0.060%,456,,,
288,Daphne,0.060%,456,,,
289,Adaline,0.060%,452,,,
290,Hayden,0.059%,449,,,
291,Joanna,0.059%,449,,,
292,Jocelyn,0.059%,448,,,
293,Lena,0.059%,446,,,
294,Evie,0.059%,445,,,
295,Juliet,0.059%,445,,,
296,Fiona,0.059%,445,,,
297,Cataleya,0.059%,444,,,
298,Angelina,0.059%,443,,,
299,Leia,0.059%,443,,,
300,Paige,0.058%,441,,,
301,Julianna,0.058%,440,,,
302,Milani,0.058%,438,,,
303,Talia,0.058%,438,,,
304,Rebecca,0.058%,438,,,
305,Kendall,0.058%,434,,,
306,Harley,0.057%,432,,,
307,Lia,0.057%,432,,,
308,Phoenix,0.057%,431,,,
309,Dahlia,0.057%,431,,,
310,Logan,0.057%,431,,,
311,Camilla,0.057%,430,,,
312,Thea,0.057%,429,,,
313,Jayla,0.057%,428,,,
314,Brooklynn,0.056%,424,,,
315,Blair,0.056%,423,,,
316,Vivienne,0.055%,417,,,
317,Hallie,0.055%,416,,,
318,Madilyn,0.055%,412,,,
319,Mckenna,0.054%,411,,,
320,Evelynn,0.054%,411,,,
321,Ophelia,0.054%,410,,,
322,Celeste,0.054%,410,,,
323,Alayah,0.054%,407,,,
324,Winter,0.054%,405,,,
325,Catherine,0.054%,405,,,
326,Collins,0.053%,402,,,
327,Nina,0.053%,398,,,
328,Briella,0.053%,397,,,
329,Palmer,0.053%,397,,,
330,Noa,0.053%,397,,,
331,Mckenzie,0.052%,394,,,
332,Kiara,0.052%,392,,,
333,Amari,0.052%,392,,,
334,Adriana,0.052%,391,,,
335,Gracelynn,0.052%,390,,,
336,Lauren,0.052%,390,,,
337,Cali,0.051%,389,,,
338,Kalani,0.051%,388,,,
339,Aniyah,0.051%,387,,,
340,Nicole,0.051%,386,,,
341,Alexis,0.051%,385,,,
342,Mariah,0.051%,384,,,
343,Gabriela,0.051%,384,,,
344,Wynter,0.051%,384,,,
345,Amina,0.051%,382,,,
346,Ariyah,0.050%,380,,,
347,Adelynn,0.050%,380,,,
348,Remington,0.050%,380,,,
349,Reign,0.050%,379,,,
350,Alaya,0.050%,379,,,
351,Dream,0.050%,377,,,
352,Alexandria,0.050%,376,,,
353,Willa,0.050%,375,,,
354,Avianna,0.050%,375,,,
355,Makayla,0.049%,374,,,
356,Gracelyn,0.049%,373,,,
357,Elle,0.049%,372,,,
358,Amiyah,0.049%,371,,,
359,Arielle,0.049%,370,,,
360,Elianna,0.049%,369,,,
361,Giselle,0.049%,369,,,
362,Brynn,0.049%,367,,,
363,Ainsley,0.048%,366,,,
364,Aitana,0.048%,365,,,
365,Charli,0.048%,365,,,
366,Demi,0.048%,364,,,
367,Makenna,0.048%,361,,,
368,Rosemary,0.048%,360,,,
369,Danna,0.047%,358,,,
370,Izabella,0.047%,357,,,
371,Lilliana,0.047%,357,,,
372,Melissa,0.047%,356,,,
373,Samara,0.047%,356,,,
374,Lana,0.047%,356,,,
375,Mabel,0.047%,355,,,
376,Everlee,0.047%,354,,,
377,Fatima,0.047%,354,,,
